Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
197,8.926441206403576,0.0,10.876441206403577,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
198,42.034478984535426,0.0,65.05947898453543,-32.299999952316284,0.0,0.0,8.975000262260437,0.30000001192092896
199,111.55934994990832,-1.0000001192092896,173.03434997971078,-77.8999999165535,0.0,0.0,16.525000791996717,0.9000000357627869
200,111.58190630833053,-1.0000001192092896,196.6569063381328,-106.0,0.0,0.0,21.925000920891762,0.0
201,160.22733226578364,-1.0000001192092896,315.477332295586,-187.19999980926514,0.0,0.0,31.75000100582838,1.2000000476837158
202,15.997720467122196,0.0,18.572720467122195,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
203,116.42306309722801,0.0,166.79806309722795,-70.0,0.0,0.0,19.625000830739737,0.0
204,117.6913691706356,0.0,147.89136917063558,-53.0,0.0,0.0,22.80000191926956,0.0
205,37.165071539322774,0.0,49.24007153932277,-20.0,0.0,0.0,7.925000488758087,0.0
206,109.37904120098507,-1.0000001192092896,146.05404123078745,-52.299999952316284,0.0,0.0,16.32500097900629,0.30000001192092896
207,10.184854586279704,0.0,12.759854586279703,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
208,124.15473548302347,0.0,215.8547354830236,-121.0,-7.5,0.0,36.20000230893493,0.6000000238418579
209,68.14472365350373,-1.0000001192092896,175.51972368330587,-131.0,0.0,0.0,24.325001168996096,0.30000001192092896
210,238.01264889964816,0.0,327.5376488996485,-127.19999986886978,0.0,0.0,36.475001227110624,1.2000000476837158
211,112.82062478872115,-1.0000001192092896,149.34562481852345,-51.0,0.0,0.0,15.475000638514757,0.0
212,126.24359599351952,0.0,159.1685959935195,-46.0,0.0,0.0,13.07500034570694,0.0
213,109.1882228855855,0.0,171.58822288558557,-80.29999995231628,0.0,0.0,17.600000612437725,0.30000001192092896
214,81.20323226842498,0.0,97.35323226842493,-30.0,-1.5,0.0,14.75000050663948,0.6000000238418579
215,8.096654388661078,0.0,7.421654388661077,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
216,226.35695379849966,-1.0000001192092896,326.7569538283024,-150.59999990463257,0.0,0.0,50.60000133514404,0.6000000238418579
217,18.51003962960054,0.0,20.46003962960054,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
218,7.330428709974382,0.0,9.280428709974382,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
219,25.39133614411508,0.0,34.14133614411508,-14.0,0.0,0.0,4.9500004053115845,0.30000001192092896
220,6.109859721234137,0.0,7.434859721234137,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
221,34.49544334076383,0.0,45.79544334076381,-20.0,0.0,0.0,8.700000584125519,0.0
222,136.6745794438854,0.0,177.92457944388545,-63.0,0.0,0.0,21.450001124292612,0.30000001192092896
223,6.126686470298707,0.0,7.451686470298707,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
224,143.84764460039705,-1.0000001192092896,183.5976446301993,-64.0,0.0,0.0,25.250001657754183,0.0
225,116.06132261434315,0.0,161.2613226143432,-66.5,0.0,0.0,20.700000643730164,0.6000000238418579
226,133.1652535114518,0.0,173.16525351145185,-58.0,0.0,0.0,18.00000061839819,0.0
227,52.89643139152662,1.0000001192092896,71.27143136172427,-31.5,-1.5,1.0,12.32500085234642,0.30000001192092896
228,96.64241461962305,0.0,121.31741461962307,-43.0,0.0,0.0,18.02500131726265,0.30000001192092896
229,41.462082657397744,-1.0000001192092896,131.31208268720013,-109.29999995231628,0.0,0.0,20.15000057592988,0.30000001192092896
230,6.733425107863983,0.0,9.308425107863984,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
231,35.1936523677225,0.0,52.26865236772249,-21.5,-4.5,0.0,8.625000566244125,0.30000001192092896
232,55.52215555071671,0.0,117.94715555071666,-78.29999995231628,0.0,0.0,15.575000792741776,0.30000001192092896
233,6.13575933750006,0.0,7.460759337500059,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
234,7.671241574251068,0.0,8.996241574251068,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
235,7.704104170822696,0.0,9.029104170822695,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
236,183.6834601536269,0.0,231.30846015362684,-77.0,0.0,0.0,28.47500079125166,0.9000000357627869
